buyer,seller,rate,date
106940810,746622963,2,09/21/2018
360965267,106940810,2,08/15/2018
908454788,106940810,2,07/25/2018
286332309,106940810,2,07/12/2018
101759250,106940810,2,07/06/2018
106940810,657667769,2,05/12/2018
106940810,164210172,2,04/13/2018
887979256,106940810,2,02/01/2018
284851026,106940810,2,12/07/2017
378643648,106940810,2,12/02/2017
676588625,106940810,2,11/28/2017
685151990,106940810,2,11/21/2017
741521231,106940810,2,11/13/2017
176395863,106940810,2,09/18/2017
978978420,106940810,2,09/18/2017
106940810,234992119,2,09/07/2017
156904478,106940810,2,08/17/2017
914342614,106940810,2,07/24/2017
181814476,106940810,2,04/15/2017
244559721,106940810,2,03/29/2017
609944322,106940810,2,08/18/2016
366393537,106940810,2,05/07/2016
610430147,106940810,2,04/08/2016
881871622,106940810,2,04/02/2016
858494155,106940810,2,03/10/2016
727099089,106940810,2,01/14/2016
816901325,106940810,2,12/31/2015
249129588,106940810,2,10/27/2015
605398769,106940810,2,10/10/2015
276348284,106940810,2,10/05/2015
157906617,106940810,2,09/09/2015
890457134,106940810,2,09/08/2015
106940810,206904979,2,08/27/2015
769839442,106940810,2,08/02/2015
621210327,106940810,2,07/29/2015
963047687,106940810,2,07/15/2015
765735380,106940810,2,05/30/2015
891438461,106940810,2,05/27/2015
346137925,106940810,2,05/26/2015
445958038,106940810,2,05/25/2015
106940810,412829898,2,05/24/2015
272089550,106940810,2,05/11/2015
106940810,779128782,2,05/09/2015
434858711,106940810,2,05/05/2015
793308078,106940810,2,05/04/2015
562549113,106940810,2,05/04/2015
434858711,106940810,2,05/01/2015
269180273,106940810,2,05/01/2015
106940810,412829898,2,04/30/2015
891438461,106940810,2,04/30/2015
519100178,106940810,2,04/27/2015
451906615,106940810,2,04/27/2015
451906615,106940810,2,04/27/2015
314976907,106940810,2,04/25/2015
291947775,106940810,2,04/24/2015
793308078,106940810,2,04/15/2015
521649882,106940810,2,04/15/2015
341065805,106940810,2,04/11/2015
801663109,106940810,2,04/11/2015
106940810,779128782,2,04/11/2015
253571044,106940810,2,04/08/2015
627231969,106940810,2,04/08/2015
677106944,106940810,2,04/06/2015
313175394,106940810,2,04/03/2015
351531324,106940810,2,04/01/2015
112518434,106940810,2,03/30/2015
228363680,106940810,2,03/28/2015
359978671,106940810,2,03/27/2015
876321373,106940810,2,03/27/2015
563547622,106940810,2,03/26/2015
863078520,106940810,2,03/26/2015
801807666,106940810,2,03/08/2015
862404084,106940810,2,03/04/2015
210280702,106940810,2,03/02/2015
468184499,106940810,2,02/27/2015
137992191,106940810,1,05/29/2015
137992191,365020578,2,04/06/2016
137992191,810390814,2,12/17/2015
137992191,501813278,2,11/18/2015
137992191,143101764,2,11/13/2015
137992191,808675312,2,10/20/2015
137992191,636027247,2,10/19/2015
137992191,636027247,2,10/19/2015
137992191,383038320,2,09/08/2015
137992191,106940810,2,05/29/2015
383038320,882989502,2,03/26/2017
383038320,326087388,2,03/25/2017
383038320,477211489,2,01/09/2017
164395627,383038320,2,12/06/2016
383038320,674417218,2,12/06/2016
790008106,383038320,2,12/04/2016
464021758,383038320,2,11/22/2016
383038320,364333770,2,11/18/2016
383038320,406139707,2,11/17/2016
